click,purchase,101,121,122,124,125,126,127,128,129,205,206,207,210,216,508,509,702,853,301,109_14,110_14,127_14,150_14,D109_14,D110_14,D127_14,D150_14,D508,D509,D702,D853
0,0,1,1,1,1,1,0,1,1,1,36,8,51,52,6,6,0,2,0,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.3936,0.0,0.185,0.0
0,0,1,1,1,1,1,0,1,1,1,0,6,0,11,2,5,0,1,0,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.4802,0.1993,0.4626,0.0
0,0,1,1,1,1,1,0,1,1,1,37,25,52,53,35,0,0,0,0,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.0,0.0,0.0,0.0
0,0,1,1,1,1,1,0,1,1,1,38,23,53,54,36,0,0,0,0,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.0,0.0,0.0,0.0
0,0,1,1,1,1,1,0,1,1,1,39,11,54,55,0,9,12,0,0,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.3267,0.0771,0.0,0.0
0,0,1,1,1,1,1,0,1,1,1,40,8,10,25,37,6,0,12,0,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.3936,0.0,0.2391,0.0
0,0,1,1,1,1,1,0,1,1,1,41,26,55,56,38,17,0,0,0,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.11975,0.0,0.0,0.0
0,0,1,1,1,1,1,0,1,1,1,0,6,56,11,11,5,13,4,0,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.4802,0.179,0.265,0.0
0,0,1,1,1,1,1,0,1,1,1,0,27,56,57,11,18,13,4,0,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.4243,0.179,0.265,0.0
0,0,1,1,1,1,1,0,1,1,1,42,18,57,58,0,14,14,0,0,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.3508,0.1993,0.0,0.0
0,0,1,1,1,1,1,0,1,1,1,43,24,58,59,39,16,0,0,17,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.3633,0.0,0.0,0.1943
0,0,1,1,1,1,1,0,1,1,1,44,16,59,60,40,12,0,13,18,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.3743,0.0,0.0797,0.366
0,0,1,1,1,1,1,0,1,1,1,45,9,60,61,41,7,0,0,0,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.3706,0.0,0.0,0.0
0,0,1,1,1,1,1,0,1,1,1,0,6,47,62,2,5,11,1,0,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.4802,0.2444,0.4626,0.0
0,0,1,1,1,1,1,0,1,1,1,46,24,61,63,42,16,15,14,17,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.3633,0.179,0.185,0.1943
0,0,1,1,1,1,1,0,1,1,1,47,14,62,64,43,11,0,0,0,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.2795,0.0,0.0,0.0
0,0,1,1,1,1,1,0,1,1,1,48,28,63,65,0,0,0,0,0,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.0,0.0,0.0,0.0
0,0,1,1,1,1,1,0,1,1,1,0,29,64,66,0,19,0,0,0,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.11975,0.0,0.0,0.0
0,0,1,1,1,1,1,0,1,1,1,49,8,65,67,0,6,0,0,19,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.3936,0.0,0.0,0.2278
0,0,1,1,1,1,1,0,1,1,1,50,30,66,68,0,0,0,0,0,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.0,0.0,0.0,0.0
0,0,1,1,1,1,1,0,1,1,1,51,9,67,19,44,7,0,0,0,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.3706,0.0,0.0,0.0
0,0,1,1,1,1,1,0,1,1,1,52,29,68,69,0,19,0,0,0,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.11975,0.0,0.0,0.0
0,0,1,1,1,1,1,0,1,1,1,53,9,69,70,0,7,0,0,0,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.3706,0.0,0.0,0.0
0,0,1,1,1,1,1,0,1,1,1,0,24,0,71,33,16,0,11,0,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.3633,0.1993,0.3948,0.0
0,0,1,1,1,1,1,0,1,1,1,54,31,29,72,19,0,0,0,0,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.0,0.0,0.0,0.0
0,0,1,1,1,1,1,0,1,1,1,55,29,70,73,45,19,0,0,0,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.11975,0.0,0.0,0.0
0,0,1,1,1,1,1,0,1,1,1,0,6,0,8,2,5,0,1,0,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.4802,0.1993,0.4626,0.0
0,0,1,1,1,1,1,0,1,1,1,0,5,71,74,37,4,16,12,0,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.3591,0.2764,0.2391,0.0
0,0,1,1,1,1,1,0,1,1,1,56,32,72,75,46,0,0,0,0,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.0,0.0,0.0,0.0
0,0,1,1,1,1,1,0,1,1,1,57,28,73,65,0,0,0,0,0,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.0,0.0,0.0,0.0
1,0,1,1,1,1,1,0,1,1,1,58,9,74,19,0,7,0,0,0,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.3706,0.0,0.0,0.0
0,0,1,1,1,1,1,0,1,1,1,0,33,0,76,0,20,0,0,0,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.11975,0.0,0.0,0.0
0,0,1,1,1,1,1,0,1,1,1,0,28,75,77,47,0,0,15,0,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.0,0.0,0.0797,0.0
0,0,1,1,1,1,1,0,1,1,1,59,34,76,78,33,21,0,11,0,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.07556,0.0,0.3948,0.0
0,0,1,1,1,1,1,0,1,1,1,60,9,77,79,48,7,0,0,0,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.3706,0.0,0.0,0.0
0,0,1,1,1,1,1,0,1,1,1,61,17,78,80,49,13,0,0,7,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.2876,0.0,0.0,0.1504
0,0,1,1,1,1,1,0,1,1,1,0,28,79,81,50,0,0,16,0,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.0,0.0,0.4868,0.0
0,0,1,1,1,1,1,0,1,1,1,0,8,5,82,37,6,0,12,0,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.3936,0.0,0.2391,0.0
0,0,1,1,1,1,1,0,1,1,1,0,28,75,77,33,0,0,11,0,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.0,0.0,0.3948,0.0
0,0,1,1,1,1,1,0,1,1,1,62,11,80,83,0,9,0,0,0,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.3267,0.0,0.0,0.0
0,0,1,1,1,1,1,0,1,1,1,0,6,56,8,11,5,13,4,0,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.4802,0.179,0.265,0.0
0,0,1,1,1,1,1,0,1,1,1,0,35,81,84,0,22,0,0,20,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.07556,0.0,0.0,0.1504
0,0,1,1,1,1,1,0,1,1,1,63,34,82,85,51,21,0,0,0,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.07556,0.0,0.0,0.0
0,0,1,1,1,1,1,0,1,1,1,64,29,83,86,33,19,0,11,0,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.11975,0.0,0.3948,0.0
0,0,1,1,1,1,1,0,1,1,1,0,27,56,87,11,18,13,4,0,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.4243,0.179,0.265,0.0
0,0,1,1,1,1,1,0,1,1,1,42,18,57,58,0,14,14,0,0,1,1,1,1,1,0.4734,0.562,0.0856,0.1902,0.3508,0.1993,0.0,0.0
