label,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22
0,1,10,90,3583,7907,7931,12997,13304,13335,995691,1535486,1541001,1541007,1541240,1543497,1543506,1543531,1543945,1543951,1544055,1544193,1544262
0,1,9,17,3581,7906,7932,12999,13305,13335,318905,1534442,1541001,1541009,1541015,1543495,1543504,1543515,1543948,1543953,1544033,1544191,1544254
0,2,9,424,3590,7906,7931,12997,13304,13334,622217,1534486,1541002,1541007,1541147,1543495,1543504,1543564,1543946,1543951,1544023,1544187,1544265
0,1,9,17,3581,7906,8314,13002,13305,13335,311807,1534728,1541001,1541007,1541150,1543495,1543504,1543584,1543946,1543983,1544026,1544192,1544269
0,1,10,32,3596,7907,7931,12997,13304,13335,455073,1534566,1541001,1541007,1541016,1543495,1543504,1543516,1543945,1543961,1544018,1544190,1544261
0,1,9,18,3582,7908,7931,12997,13304,13335,642337,1534441,1541001,1541007,1541036,1543495,1543504,1543542,1543945,1543950,1544018,1544198,1544265
1,1,9,21,3584,7909,7931,12997,13304,13335,291516,1534474,1541001,1541007,1541077,1543496,1543505,1543550,1543947,1543951,1544089,1544195,1544260
0,1,9,18,3582,7908,7931,12997,13304,13335,292016,1534413,1541001,1541007,1541098,1543495,1543504,1543589,1543948,1543976,1544018,1544198,1544265
0,1,9,17,3581,7906,7932,12999,13305,13335,1124898,1534903,1541001,1541008,1541015,1543495,1543504,1543515,1543948,1543953,1544027,1544191,1544257
0,1,9,17,3581,7906,7932,12999,13305,13335,309500,1534442,1541001,1541009,1541014,1543495,1543504,1543515,1543948,1543953,1544033,1544191,1544256
0,1,10,24,3583,7907,7931,12997,13304,13335,291519,1534429,1541001,1541007,1541087,1543495,1543504,1543539,1543946,1543963,1544026,1544197,1544257
0,1,9,17,3581,7906,7932,12999,13305,13335,299943,1534426,1541001,1541009,1541014,1543495,1543504,1543515,1543948,1543953,1544027,1544191,1544252
0,1,9,17,3581,7906,7987,13002,13305,13335,308516,1534471,1541001,1541007,1541141,1543495,1543504,1543548,1543946,1543963,1544021,1544208,1544263
0,1,10,32,3596,7907,7931,12997,13304,13335,425370,1534447,1541001,1541007,1541216,1543495,1543504,1543553,1543945,1543957,1544018,1544209,1544251
1,1,9,18,3582,7908,7931,12997,13304,13335,291516,1534730,1541001,1541007,1541030,1543495,1543504,1543514,1543945,1543950,1544018,1544189,1544252
1,1,10,20,3585,7907,7931,12997,13304,13335,291628,1534465,1541001,1541007,1541046,1543495,1543504,1543532,1543947,1543962,1544018,1544195,1544263
0,1,9,17,3581,7906,7941,12998,13307,13335,293641,1534410,1541001,1541007,1541067,1543495,1543504,1543535,1543946,1543951,1544018,1544187,1544256
0,1,9,17,3581,7906,7932,12999,13305,13335,317344,1534422,1541001,1541009,1541014,1543495,1543504,1543515,1543948,1543953,1544033,1544191,1544254
0,1,9,18,3582,7908,7931,12997,13304,13335,295245,1534414,1541001,1541007,1541109,1543495,1543504,1543524,1543945,1543952,1544018,1544188,1544268
0,1,9,17,3581,7906,7991,12998,13305,112314,291518,1534415,1541001,1541007,1541296,1543495,1543507,1543520,1543945,1543950,1544018,1544188,1544271
0,1,9,18,3582,7908,7931,12997,13304,13335,327498,1534414,1541001,1541007,1541022,1543495,1543504,1543514,1543945,1543950,1544019,1544189,1544259
0,1,9,929,4047,7909,7931,12997,13304,13335,292551,1535459,1541001,1541008,1541033,1543495,1543504,1543522,1543945,1543950,1544018,1544193,1544253
1,1,9,29,3592,7907,7931,12997,13304,13335,750492,1534424,1541001,1541007,1541130,1543495,1543504,1543561,1543946,1543951,1544018,1544187,1544254
1,1,10,22,3586,7907,7931,12997,13304,13335,291516,1534412,1541001,1541007,1541018,1543495,1543504,1543517,1543946,1543952,1544023,1544187,1544260
0,1,9,17,3581,7906,7932,12999,13305,13335,344035,1534422,1541001,1541009,1541015,1543495,1543504,1543515,1543948,1543953,1544035,1544191,1544250
0,2,9,49,3586,7906,7931,12997,13304,13334,510027,1534762,1541002,1541007,1541133,1543495,1543504,1543564,1543946,1543951,1544029,1544187,1544261
0,1,10,23,3587,7907,7931,12997,13304,13335,958750,1534417,1541001,1541007,1541057,1543495,1543504,1543521,1543945,1543951,1544018,1544188,1544258
0,1,9,17,3581,7906,7934,13001,13305,13335,291516,1534436,1541001,1541007,1541013,1543495,1543504,1543519,1543946,1543956,1544021,1544192,1544248
0,1,9,17,3581,7906,7967,12998,13305,205432,291516,1534414,1541001,1541007,1541034,1543495,1543504,1543522,1543945,1543950,1544018,1544193,1544248
